X,Y,OBJECTID,STATUS,UNIQUE_ID,SITE_NUMBER,RPUID,SENSOR_NAME,TOWNSHIP,SECTION,RANGE,RPUID_NAME,NWS_ID,LATITUDE,LONGITUDE,GPS_ALTITUDE,COUNTY_NAME,ROUTE_NAME,MILE_POST,COST_CENTER,GARAGE_NAME,DISTRICT_NO,COUNTY_NO,DATA_LAST_UPDATED,SURFACE_CONDITION,REST_EDITED,SURFACE_TEMP,ICE_PERCENTAGE,FREEZE_TEMP,SENSOR_ID,UTC_OFFSET,SENSOR_PRIORITY,FrictionIndex
-92.9617,42.003667,1,1,5120292,512029,29,US 30 WB Passing Deck,T83N,17,R18W,Marshalltown,RMTI4,42.003667,-92.9617,955,MARSHALL,US 30,182.8,551604,Marshalltown,1,64,2019-06-23T16:33:04.000Z,Dry,2019-06-23T16:34:52.127Z,91.9,9999,9999,2,-05:00,10,9999
-93.341799999999765,43.038000000000416,2,0,5120300,512030,30,I-35 NB Driving Deck,T95N,20,R21W,Mason City,RMCI4,43.038,-93.3418,1235,CERRO GORDO,I-35,186.6,552617,Mason City,2,17,2019-06-23T05:30:21.000Z,NA,2019-06-23T16:34:52.127Z,9999,9999,9999,0,-05:00,199,9999
-95.917299999777384,41.549500000133015,3,0,5120310,512031,31,I-29 NB Driving Deck,T78N,20,R44W,Missouri Valley,RMVI4,41.5495,-95.9173,1015,HARRISON,I-29,75.7,554810,Missouri Valley,4,43,2019-06-12T19:13:37.000Z,NA,2019-06-23T16:34:52.127Z,9999,9999,9999,0,-05:00,199,9999
-95.917299999777384,41.549500000133015,4,0,5120311,512031,31,I-29 NB Driving Pavement,T78N,20,R44W,Missouri Valley,RMVI4,41.5495,-95.9173,1015,HARRISON,I-29,75.7,554810,Missouri Valley,4,43,2019-06-12T19:13:37.000Z,NA,2019-06-23T16:34:52.127Z,9999,9999,9999,1,-05:00,299,9999
-95.917299999777384,41.549500000133015,5,0,5120312,512031,31,I-29 SB Passing Deck,T78N,20,R44W,Missouri Valley,RMVI4,41.5495,-95.9173,1015,HARRISON,I-29,75.7,554810,Missouri Valley,4,43,2019-06-12T19:13:37.000Z,NA,2019-06-23T16:34:52.127Z,9999,9999,9999,2,-05:00,199,9999
-91.555500000043011,40.895667000051539,6,1,5120320,512032,32,US 218 NB Driving Pavement,T70N,4,R06W,Mount Pleasant,RMPI4,40.895667,-91.5555,436,HENRY,US 218,38.3,555844,Mount Pleasant,5,44,2019-06-23T16:33:10.000Z,Dry,2019-06-23T16:34:52.127Z,9999,9999,9999,0,-05:00,299,9999
-91.5555,40.895667,7,1,5120321,512032,32,US 218 SB Driving Deck,T70N,4,R06W,Mount Pleasant,RMPI4,40.895667,-91.5555,436,HENRY,US 218,38.3,555844,Mount Pleasant,5,44,2019-06-23T16:33:10.000Z,NA,2019-06-23T16:34:52.127Z,9999,9999,9999,1,-05:00,199,9999
-92.459199999998106,43.067167000000545,8,1,5120330,512033,33,US 18 WB Driving Pavement,T95N,2,R14W,New Hampton,RNHI4,43.067167,-92.4592,1072,CHICKASAW,US 18,223.95,552819,New Hampton,2,19,2019-06-23T16:30:10.000Z,Wet,2019-06-23T16:34:52.127Z,75.4,9999,9999,0,-05:00,20,9999
-96.229499999614134,42.171300000118165,9,1,5120340,512034,34,I-29 NB Passing Deck,T85N,17,R46W,Sloan,RONI4,42.1713,-96.2295,995,MONONA,I-29,123.5,553607,Sloan,3,67,2019-06-23T16:33:10.000Z,Wet,2019-06-23T16:34:52.127Z,77.5,9999,9999,0,-05:00,11,9999
-94.7973,43.3993,10,1,5120641,512064,64,IA 9 WB Departure Pavement,T99N,13,R34W,Estherville,RETI4,43.3993,-94.7973,1283,EMMETT,IA 9,,552656,Swea City,2,32,2019-06-23T16:30:04.000Z,NA,2019-06-23T16:34:52.127Z,9999,9999,9999,1,-05:00,299,9999
